turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,37.6250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
1998-S2,1,36.8750,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
1999-S1,2,36.1250,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
1999-S2,3,35.3750,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2000-S1,4,34.8500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2000-S2,5,34.5500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2001-S1,6,34.2500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2001-S2,7,33.9500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2002-S1,8,33.6500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2002-S2,9,33.3500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2003-S1,10,33.0500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2003-S2,11,32.7500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2004-S1,12,32.4500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2004-S2,13,32.1500,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2005-S1,14,31.9000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2005-S2,15,31.7000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2006-S1,16,31.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2006-S2,17,31.3000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2007-S1,18,31.1000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2007-S2,19,30.9000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2008-S1,20,30.7000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2008-S2,21,30.5000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2009-S1,22,30.3000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2009-S2,23,30.1000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2010-S1,24,31.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2010-S2,25,33.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2011-S1,26,35.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2011-S2,27,37.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2012-S1,28,39.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
2012-S2,29,41.0000,geopolitics.active_conflicts,,0.7,https://ucdp.uu.se/,UCDP Armed Conflict Dataset annual count; semestral via linear interp.
