turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,62.7625,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
1998-S2,1,62.6875,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
1999-S1,2,62.6125,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
1999-S2,3,62.5375,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2000-S1,4,62.4900,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2000-S2,5,62.4700,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2001-S1,6,62.4500,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2001-S2,7,62.4300,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2002-S1,8,62.4100,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2002-S2,9,62.3900,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2003-S1,10,62.3700,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2003-S2,11,62.3500,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2004-S1,12,62.3300,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2004-S2,13,62.3100,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2005-S1,14,62.2100,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2005-S2,15,62.0300,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2006-S1,16,61.8500,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2006-S2,17,61.6700,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2007-S1,18,61.4900,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2007-S2,19,61.3100,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2008-S1,20,61.1300,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2008-S2,21,60.9500,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2009-S1,22,60.7700,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2009-S2,23,60.5900,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2010-S1,24,60.4750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2010-S2,25,60.4250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2011-S1,26,60.3750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2011-S2,27,60.3250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2012-S1,28,60.2750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2012-S2,29,60.2250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2013-S1,30,60.1750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2013-S2,31,60.1250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2014-S1,32,60.0750,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2014-S2,33,60.0250,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2015-S1,34,59.9833,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2015-S2,35,59.9500,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2016-S1,36,59.9167,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2016-S2,37,59.8833,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2017-S1,38,59.8500,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2017-S2,39,59.8167,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2018-S1,40,59.3875,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2018-S2,41,58.5625,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2019-S1,42,57.7375,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2019-S2,43,56.9125,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2020-S1,44,56.6875,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
2020-S2,45,57.0625,labor_market.employment_rate,,0.7,https://ilostat.ilo.org/,ILO global employment-to-population ratio; COVID dip 2020.
