turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,103.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
1998-S2,1,111.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
1999-S1,2,118.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
1999-S2,3,126.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2000-S1,4,123.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2000-S2,5,111.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2001-S1,6,98.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2001-S2,7,86.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2002-S1,8,83.3333,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2002-S2,9,90.0000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2003-S1,10,96.6667,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2003-S2,11,103.3333,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2004-S1,12,110.0000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2004-S2,13,116.6667,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2005-S1,14,115.8333,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2005-S2,15,107.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2006-S1,16,99.1667,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2006-S2,17,90.8333,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2007-S1,18,82.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2007-S2,19,74.1667,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2008-S1,20,74.3750,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2008-S2,21,83.1250,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2009-S1,22,91.8750,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2009-S2,23,100.6250,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2010-S1,24,108.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2010-S2,25,115.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2011-S1,26,122.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2011-S2,27,129.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2012-S1,28,136.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2012-S2,29,143.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2013-S1,30,150.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2013-S2,31,157.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2014-S1,32,164.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2014-S2,33,171.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2015-S1,34,177.0833,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2015-S2,35,181.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2016-S1,36,185.4167,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2016-S2,37,189.5833,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2017-S1,38,193.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2017-S2,39,197.9167,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2018-S1,40,203.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2018-S2,41,211.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2019-S1,42,218.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2019-S2,43,226.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2020-S1,44,233.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2020-S2,45,241.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2021-S1,46,248.7500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2021-S2,47,256.2500,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2022-S1,48,267.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2022-S2,49,282.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2023-S1,50,297.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2023-S2,51,312.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2024-S1,52,322.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2024-S2,53,327.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2025-S1,54,332.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2025-S2,55,337.5000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2026-S1,56,340.0000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
2026-S2,57,340.0000,financial_markets.global_index,,0.6,MSCI ACWI / S&P 500 (rebased),"Global equity index proxy, rebased to 100 in 1998-S1. Approximate trajectory from public summary."
