turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,67.0875,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
1998-S2,1,67.2625,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
1999-S1,2,67.4375,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
1999-S2,3,67.6125,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2000-S1,4,67.7750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2000-S2,5,67.9250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2001-S1,6,68.0750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2001-S2,7,68.2250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2002-S1,8,68.3750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2002-S2,9,68.5250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2003-S1,10,68.6750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2003-S2,11,68.8250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2004-S1,12,68.9750,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2004-S2,13,69.1250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2005-S1,14,69.2650,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2005-S2,15,69.3950,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2006-S1,16,69.5250,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2006-S2,17,69.6550,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2007-S1,18,69.7850,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2007-S2,19,69.9150,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
2008-S1,20,70.0450,health.life_expectancy,,0.8,https://population.un.org/wpp/,UN WPP global average life expectancy at birth; COVID dip 2020-2022.
