turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,6.0625,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
1998-S2,1,6.1875,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
1999-S1,2,6.3125,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
1999-S2,3,6.4375,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2000-S1,4,6.5500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2000-S2,5,6.6500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2001-S1,6,6.7500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2001-S2,7,6.8500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2002-S1,8,6.9500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2002-S2,9,7.0500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2003-S1,10,7.1500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2003-S2,11,7.2500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2004-S1,12,7.3500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2004-S2,13,7.4500,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2005-S1,14,7.5750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2005-S2,15,7.7250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2006-S1,16,7.8750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2006-S2,17,8.0250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2007-S1,18,8.1750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2007-S2,19,8.3250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2008-S1,20,8.4750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2008-S2,21,8.6250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2009-S1,22,8.7750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2009-S2,23,8.9250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2010-S1,24,9.1250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2010-S2,25,9.3750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2011-S1,26,9.6250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2011-S2,27,9.8750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2012-S1,28,10.1250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2012-S2,29,10.3750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2013-S1,30,10.6250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2013-S2,31,10.8750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2014-S1,32,11.1250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2014-S2,33,11.3750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2015-S1,34,11.6667,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2015-S2,35,12.0000,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2016-S1,36,12.3333,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2016-S2,37,12.6667,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2017-S1,38,13.0000,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2017-S2,39,13.3333,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2018-S1,40,13.6250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2018-S2,41,13.8750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2019-S1,42,14.1250,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2019-S2,43,14.3750,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2020-S1,44,14.6875,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2020-S2,45,15.0625,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2021-S1,46,15.4375,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2021-S2,47,15.8125,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2022-S1,48,16.1875,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2022-S2,49,16.5625,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2023-S1,50,16.9375,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2023-S2,51,17.3125,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2024-S1,52,17.6875,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2024-S2,53,18.0625,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2025-S1,54,18.4375,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2025-S2,55,18.8125,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2026-S1,56,19.0000,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
2026-S2,57,19.0000,energy_climate.renewable_share,,0.7,https://www.iea.org/data-and-statistics,IEA renewable share of total final energy consumption; approximate.
