turn_label,turn_index,value,metric_key,block,confidence,source_url,notes
1998-S1,0,19.0625,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
1998-S2,1,19.1875,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
1999-S1,2,19.3125,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
1999-S2,3,19.4375,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2000-S1,4,19.5500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2000-S2,5,19.6500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2001-S1,6,19.7500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2001-S2,7,19.8500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2002-S1,8,19.9500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2002-S2,9,20.0500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2003-S1,10,20.1500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2003-S2,11,20.2500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2004-S1,12,20.3500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2004-S2,13,20.4500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2005-S1,14,20.5500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
2005-S2,15,20.6500,inequality.top1pct_share,,0.6,https://wid.world/,Top 1% share of global wealth (WID estimates). Numbers approximate from published summaries.
